City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Ocala,US,2021-04-21 17:47:59,29.1872,-82.1401,82.99,41,1,6.91
221,Talas,TR,2021-04-21 17:47:59,38.6908,35.5538,55.4,47,20,1.14
222,Ibotirama,BR,2021-04-21 17:47:59,-12.1853,-43.2206,86.2,46,64,4.32
223,Kharan,PK,2021-04-21 17:48:00,28.5833,65.4167,81.19,11,13,3.67
224,Atar,MR,2021-04-21 17:48:00,20.5169,-13.0499,96.8,7,4,11.92
225,Tocache,PE,2021-04-21 17:48:00,-8.1842,-76.5125,86.97,59,53,1.72
226,Carupano,VE,2021-04-21 17:48:01,10.6678,-63.2585,82.15,67,33,14.23
227,Grindavik,IS,2021-04-21 17:48:01,63.8424,-22.4338,44.6,76,90,14.97
228,Eyl,SO,2021-04-21 17:48:02,7.9803,49.8164,83.3,75,58,9.66
229,Coihaique,CL,2021-04-21 17:48:02,-45.5752,-72.0662,53.6,62,75,8.05
230,Olafsvik,IS,2021-04-21 17:48:02,64.8945,-23.7142,42.21,83,100,6.08
231,Meulaboh,ID,2021-04-21 17:48:02,4.1363,96.1285,78.57,85,100,3.94
232,San Carlos,VE,2021-04-21 17:46:56,9.6612,-68.5827,98.11,23,4,3.96
233,Salmas,IR,2021-04-21 17:48:03,38.1973,44.7653,66.2,32,40,6.91
234,San Carlos De Bariloche,AR,2021-04-21 17:45:04,-41.1456,-71.3082,53.6,54,40,17.27
235,Colares,PT,2021-04-21 17:48:03,38.7992,-9.4469,63.0,94,75,12.66
236,Quatre Cocos,MU,2021-04-21 17:48:04,-20.2078,57.7625,77.0,88,75,4.61
237,Teguise,ES,2021-04-21 17:48:04,29.0605,-13.564,71.6,53,20,17.27
238,Marawi,PH,2021-04-21 17:48:04,7.9986,124.2928,75.0,91,88,5.01
239,Pitimbu,BR,2021-04-21 17:48:05,-7.4706,-34.8086,87.8,62,20,10.36
240,Rondonopolis,BR,2021-04-21 17:48:05,-16.4708,-54.6356,95.47,25,11,2.46
241,Bassila,BJ,2021-04-21 17:48:05,9.0081,1.6654,74.16,90,90,17.05
242,Suez,EG,2021-04-21 17:48:06,29.9737,32.5263,65.19,56,96,15.5
243,Jasper,US,2021-04-21 17:48:06,37.2001,-94.3502,51.8,40,1,12.66
244,Jacqueville,CI,2021-04-21 17:48:06,5.2052,-4.4146,86.0,79,20,11.5
245,Mutoko,ZW,2021-04-21 17:48:07,-17.397,32.2268,63.61,53,5,9.75
246,Mocuba,MZ,2021-04-21 17:48:07,-16.8392,36.9856,69.67,99,96,4.32
247,Edd,ER,2021-04-21 17:48:08,13.9297,41.6925,90.19,33,7,22.01
248,Bonthe,SL,2021-04-21 17:45:26,7.5264,-12.505,83.25,75,100,8.57
249,Ostrovnoy,RU,2021-04-21 17:48:08,68.0531,39.5131,35.78,76,84,7.92
250,Freeport,US,2021-04-21 17:44:27,40.6576,-73.5832,62.01,72,20,17.27
251,Jalu,LY,2021-04-21 17:48:09,29.0331,21.5482,75.02,19,63,7.87
252,Santa Lucia,ES,2021-04-21 17:48:09,27.9117,-15.5407,72.0,64,20,28.77
253,Aksu,CN,2021-04-21 17:48:10,41.1231,80.2644,59.11,46,54,4.94
254,Upington,ZA,2021-04-21 17:48:10,-28.4478,21.2561,75.2,25,0,5.75
255,Podgorica,ME,2021-04-21 17:48:10,42.4411,19.2636,57.2,51,20,1.14
256,Diffa,NE,2021-04-21 17:48:11,13.3154,12.6113,92.91,6,48,8.99
257,Totness,SR,2021-04-21 17:48:11,5.8833,-56.3167,80.33,77,96,10.33
258,Carnarvon,AU,2021-04-21 17:48:11,-24.8667,113.6333,69.8,83,70,8.05
259,Caxito,AO,2021-04-21 17:48:12,-8.5785,13.6643,78.49,85,40,1.32
260,Tripoli,LY,2021-04-21 17:44:05,32.8752,13.1875,76.17,36,10,21.32
261,Helsinki,FI,2021-04-21 17:48:12,60.1695,24.9355,42.8,70,0,11.5
262,Sao Joao Da Barra,BR,2021-04-21 17:48:13,-21.6403,-41.0511,82.4,57,75,9.22
263,Puerto Leguizamo,CO,2021-04-21 17:48:13,-0.1934,-74.7819,83.12,75,91,0.58
264,Sao Desiderio,BR,2021-04-21 17:48:13,-12.3633,-44.9733,79.3,61,57,5.79
265,Kadyy,RU,2021-04-21 17:48:14,57.787,43.1903,40.64,92,100,11.36
266,Scarborough,GB,2021-04-21 17:48:14,54.2797,-0.4044,46.0,66,81,3.0
267,Bonanza,NI,2021-04-21 17:48:15,14.0289,-84.591,89.67,44,83,6.04
268,Qandala,SO,2021-04-21 17:48:15,11.472,49.8728,84.76,64,15,7.92
269,Rosario,AR,2021-04-21 17:48:16,-32.9468,-60.6393,77.0,68,0,8.05
270,Faya,SA,2021-04-21 17:48:16,18.3851,42.4509,69.8,42,0,5.75
271,Aguachica,CO,2021-04-21 17:44:18,8.3084,-73.6166,93.63,45,84,2.68
272,Ambilobe,MG,2021-04-21 17:48:17,-13.2,49.05,76.78,74,100,6.04
273,Nigde,TR,2021-04-21 17:48:17,37.8333,34.75,50.92,70,23,4.32
274,Hit,IQ,2021-04-21 17:48:17,33.6416,42.8251,94.87,14,94,11.54
275,Havelock,US,2021-04-21 17:48:09,34.8791,-76.9013,77.0,53,40,17.27
276,Sankt Veit,DE,2021-04-21 17:48:18,49.1,10.95,55.0,82,75,4.61
277,Auraiya,IN,2021-04-21 17:45:10,26.4667,79.5167,80.4,34,41,12.44
278,Grove City,US,2021-04-21 17:48:18,39.8815,-83.093,41.0,65,75,14.97
279,Chuy,UY,2021-04-21 17:44:25,-33.6971,-53.4616,72.48,61,22,17.11
280,Plettenberg Bay,ZA,2021-04-21 17:48:19,-34.0527,23.3716,65.41,89,76,5.7
281,Topchikha,RU,2021-04-21 17:48:19,52.8192,83.1185,26.6,100,75,6.71
282,Bandarbeyla,SO,2021-04-21 17:44:39,9.4942,50.8122,82.71,78,68,10.07
283,Ermelo,ZA,2021-04-21 17:48:19,-26.5333,29.9833,57.92,46,89,6.73
284,Virginia Beach,US,2021-04-21 17:43:24,36.8529,-75.978,78.8,36,40,20.71
285,Krasnoselkup,RU,2021-04-21 17:48:20,65.7,82.4667,14.02,91,98,9.48
286,Ilinskoye-Khovanskoye,RU,2021-04-21 17:48:20,56.9718,39.7684,41.0,81,75,6.71
287,Hearst,CA,2021-04-21 17:48:20,49.6835,-83.6665,28.4,43,99,8.05
288,Bonavista,CA,2021-04-21 17:48:21,48.6499,-53.1147,46.4,66,95,6.91
289,Maragogi,BR,2021-04-21 17:48:21,-9.0122,-35.2225,82.09,72,75,10.2
290,Impfondo,CG,2021-04-21 17:48:22,1.6381,18.0667,74.26,85,85,1.19
