City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Rincon,US,32.296,-81.2354,82.99,24,20,23.02,few clouds
276,Ilebo,CD,-4.3167,20.5833,71.29,97,100,2.24,overcast clouds
277,Bridlington,GB,54.0831,-0.1919,39.99,73,42,8.77,scattered clouds
278,Valparaiso,CL,-33.0393,-71.6273,64.4,82,20,5.75,few clouds
279,Formosa,AR,-26.1775,-58.1781,86.0,48,0,14.97,clear sky
280,Marzuq,YE,14.4,46.4667,71.15,41,5,5.44,clear sky
281,Trairi,BR,-3.2778,-39.2689,79.54,80,38,5.73,scattered clouds
282,Beira,MZ,-19.8436,34.8389,77.0,73,75,10.29,broken clouds
283,Codrington,AU,-38.2667,141.9667,52.03,89,100,9.48,overcast clouds
284,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,91.4,22,0,1.88,clear sky
285,Fuerte Olimpo,PY,-21.0415,-57.8738,95.65,21,0,7.02,clear sky
286,Praia,CV,14.9215,-23.5087,73.4,64,75,18.41,broken clouds
287,Tiznit,MA,29.5833,-9.5,58.73,72,7,5.93,clear sky
288,Taoudenni,ML,22.6783,-3.9836,92.77,7,0,6.2,clear sky
289,Porto Novo,BJ,6.4965,2.6036,86.0,74,20,14.97,few clouds
290,Sembabule,UG,-0.0772,31.4567,61.93,91,100,4.14,overcast clouds
291,Faya,SA,18.3851,42.4509,68.0,52,0,6.8,clear sky
292,Keflavik,IS,64.0049,-22.5624,44.6,87,90,11.5,overcast clouds
293,Kati,ML,12.7441,-8.0726,95.0,36,20,9.22,moderate rain
294,Wheatley,GB,51.7473,-1.1394,48.0,61,0,11.5,clear sky
295,Capitao Poco,BR,-1.7464,-47.0594,76.26,93,97,1.34,overcast clouds
296,Axim,GH,4.8699,-2.2405,82.17,80,77,9.93,broken clouds
297,San Juan,AR,-31.5375,-68.5364,64.58,48,82,16.24,broken clouds
298,Torquay,GB,50.4638,-3.5143,51.01,1,28,16.35,scattered clouds
299,Itaituba,BR,-4.2761,-55.9836,77.0,94,40,1.45,light rain
300,Korla,CN,41.7597,86.1469,62.62,38,100,9.13,overcast clouds
301,Gunjur,GM,13.2019,-16.7339,75.2,73,0,6.91,clear sky
302,Bengkulu,ID,-3.8004,102.2655,75.7,89,67,3.65,broken clouds
303,Banbury,GB,52.0602,-1.3403,46.0,61,0,10.36,clear sky
304,Asosa,ET,10.0667,34.5333,71.47,50,95,1.32,overcast clouds
305,Roald,NO,62.5833,6.1333,37.4,81,40,4.61,scattered clouds
306,Vagur,FO,61.4732,-6.8119,43.43,77,100,15.28,overcast clouds
307,Monrovia,LR,6.3005,-10.7969,80.6,89,75,7.38,broken clouds
308,Letka,RU,59.6011,49.4232,36.28,95,100,13.69,moderate rain
309,Altay,CN,47.8667,88.1167,30.83,69,69,7.78,broken clouds
310,Harlingen,US,26.1906,-97.6961,72.0,64,90,17.27,overcast clouds
311,Kolaras,IN,25.2333,77.6,75.58,33,6,5.14,clear sky
312,Safaga,EG,26.7292,33.9365,78.8,29,0,19.57,clear sky
313,Luau,AO,-10.7073,22.2247,69.69,71,79,2.06,broken clouds
314,Skelleftea,SE,64.7507,20.9528,39.99,75,97,6.91,overcast clouds
315,Inirida,CO,3.8653,-67.9239,87.53,60,59,2.84,broken clouds
316,Maraa,BR,-1.8333,-65.3667,83.77,74,49,2.37,scattered clouds
317,Jensen Beach,US,27.2545,-80.2298,84.2,58,75,5.75,broken clouds
318,Viedma,AR,-40.8135,-62.9967,72.9,55,100,10.4,overcast clouds
319,Padang,ID,-0.9492,100.3543,76.17,88,99,2.51,moderate rain
320,Argalasti,GR,39.2333,23.2167,57.0,71,0,4.61,clear sky
321,Abu Dhabi,AE,24.4667,54.3667,80.6,78,0,5.75,clear sky
322,Itea,GR,38.4333,22.4167,57.99,46,5,1.01,clear sky
323,Port-Gentil,GA,-0.7193,8.7815,82.4,89,20,3.44,few clouds
324,Shetpe,KZ,44.1667,52.1167,63.03,17,100,25.23,overcast clouds
325,Chadiza,ZM,-14.0678,32.4392,59.5,96,100,2.48,overcast clouds
326,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,51,0,6.91,clear sky
327,Andover,GB,51.2083,-1.4825,51.8,62,20,8.05,few clouds
328,Yar-Sale,RU,66.8333,70.8333,33.08,89,100,11.21,overcast clouds
329,Tsabong,BW,-26.0217,22.401,69.08,28,100,8.72,overcast clouds
330,Urucui,BR,-7.2294,-44.5561,81.88,74,73,3.58,broken clouds
331,Pinar Del Rio,CU,22.4175,-83.6981,88.43,47,100,7.72,overcast clouds
332,Kuusamo,FI,65.9667,29.1833,41.0,42,0,4.61,clear sky
333,Bassar,TG,9.25,0.7833,73.45,79,100,7.7,overcast clouds
334,Venezuela,VE,8.0,-66.0,96.93,24,0,10.8,clear sky
335,Kargasok,RU,59.0556,80.8572,15.42,92,7,5.55,clear sky
336,Gamba,GA,-2.65,10.0,79.74,87,95,4.79,overcast clouds
337,Mayumba,GA,-3.432,10.6554,80.06,87,100,4.21,overcast clouds
338,Nuuk,GL,64.1835,-51.7216,33.8,64,1,14.97,clear sky
339,Pionerskiy,RU,54.9508,20.2275,44.6,70,75,11.18,light rain
340,Sfantu Gheorghe,RO,45.8667,25.7833,43.0,83,32,3.09,scattered clouds
