City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Rojhan,PK,80.67,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
582,Garowe,SO,79.97,scattered clouds,8.4054,48.4845,Curubo Hotel
587,Itainopolis,BR,84.06,overcast clouds,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
592,Nambiyur,IN,78.8,haze,11.3667,77.3333,"Pavizham agencies, Timber shop"
594,Asyut,EG,78.8,clear sky,27.181,31.1837,Florence Hotel Assiut
595,Keti Bandar,PK,81.05,clear sky,24.1447,67.4497,Haji laloo memon house
597,Nioro,GM,84.61,broken clouds,13.35,-15.75,
598,High Rock,BS,80.6,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
601,Rawah,IQ,84.09,overcast clouds,34.4816,41.9093,
607,La Libertad,EC,82.4,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
610,Minab,IR,77.0,haze,27.1467,57.0801,Bam campground
611,Dhidhdhoo,MV,83.79,few clouds,6.8833,73.1,Dhidhoo beach
612,Cumana,VE,81.18,broken clouds,10.4635,-64.1775,TIUNA INN HOTEL
615,Tete,MZ,78.8,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
616,Mundi,IN,84.47,overcast clouds,22.0667,76.5,माँ नर्मदा ज्वेलर्स
617,Qandala,SO,84.69,clear sky,11.472,49.8728,
621,Ramhormoz,IR,86.2,overcast clouds,31.28,49.6035,کافی نت کاریزما
624,Andros Town,BS,86.0,broken clouds,24.7,-77.7667,Hanks place
628,Cabedelo,BR,82.4,clear sky,-6.9811,-34.8339,Hotel Pigalle
629,Bonoua,CI,84.2,few clouds,5.2741,-3.595,Hotel Bon Samaritian
630,Alice Town,BS,79.52,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
631,Bahia Honda,CU,82.63,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
640,Guatire,VE,84.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
642,Ibicarai,BR,82.4,broken clouds,-14.865,-39.5875,Pousada Patioba
643,Barra,BR,77.13,overcast clouds,-11.0894,-43.1417,Motel Albatroz
648,Cururupu,BR,77.86,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
653,Asuncion,PY,87.01,clear sky,-25.3007,-57.6359,Crowne Plaza Asuncion
656,Linhares,BR,76.05,few clouds,-19.3911,-40.0722,Hotel Conceição
657,Ambilobe,MG,76.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
666,Kudahuvadhoo,MV,82.04,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
671,Tucurui,BR,79.97,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
679,Tabou,CI,81.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
687,Sao Joao Do Piaui,BR,83.64,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
693,Baghdad,IQ,84.2,clear sky,33.3406,44.4009,Baghdad Hotel
696,San Alberto,CO,88.75,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
697,Vieques,PR,84.2,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
700,Mount Pleasant,US,84.0,few clouds,32.7941,-79.8626,Best Western Patriots Point
704,Ouro Preto Do Oeste,BR,81.57,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
706,Ndele,CF,80.22,light rain,8.4109,20.6473,
